Unnamed: 0,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price
5905,40.76092198,-73.80980255,Private room in home,Private room,2,1.0,1 shared bath,1.0,1.0,84.0
5906,40.57455,-74.09366,Entire guest suite,Entire home/apt,2,1.0,1 bath,1.0,0.0,84.0
5907,40.71561,-73.81844,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,1.0,84.0
5908,40.57095,-74.12328,Entire home,Entire home/apt,2,1.0,1 bath,1.0,2.0,84.0
5909,40.66479,-73.92768,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,1.0,84.0
5910,40.79596,-73.96328,Entire rental unit,Entire home/apt,2,1.0,1 bath,0.0,1.0,84.0
5911,40.77749,-73.98407,Shared room in rental unit,Shared room,1,1.0,1 shared bath,1.0,2.0,84.0
5912,40.65223787,-73.95074263,Private room in home,Private room,2,1.0,1 shared bath,1.0,2.0,84.0
5913,40.83347,-73.94175,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,84.0
5914,40.81653907,-73.92762064,Entire rental unit,Entire home/apt,2,1.0,1 bath,0.0,1.0,84.0
5915,40.8268061,-73.8620988,Private room in rental unit,Private room,1,1.0,1 bath,1.0,1.0,84.0
5916,40.67573,-73.8638,Private room in townhouse,Private room,2,1.0,1 shared bath,1.0,1.0,84.0
5917,40.76696883,-73.80152862,Private room in home,Private room,1,1.0,1 bath,1.0,1.0,84.0
5918,40.70071,-73.88933,Private room in rental unit,Private room,2,1.0,1 bath,1.0,1.0,84.0
5919,40.76364981,-73.99263619,Private room in rental unit,Private room,1,0.0,0 shared baths,3.0,1.0,84.0
5920,40.71708,-73.81598,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,1.0,84.0
5921,40.81927,-73.9145,Private room in townhouse,Private room,2,1.5,1.5 baths,1.0,2.0,84.0
5922,40.7449,-73.82823,Entire home,Entire home/apt,4,1.0,1 bath,2.0,2.0,84.0
5923,40.65534,-73.95993,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,3.0,84.0
5924,40.68624,-73.94914,Private room in rental unit,Private room,2,1.5,1.5 shared baths,1.0,1.0,84.0
5925,40.68597,-73.79981,Entire home,Entire home/apt,2,1.0,1 bath,1.0,1.0,84.0
5926,40.66304793,-73.95087431,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,84.0
5927,40.64219,-74.01299,Private room in rental unit,Private room,2,1.0,1 bath,1.0,1.0,84.0
5928,40.69154,-73.91046,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,84.0
5929,40.72253,-73.85604,Private room in rental unit,Private room,2,1.0,1 private bath,1.0,1.0,85.0
5930,40.6927,-73.94513,Entire rental unit,Entire home/apt,6,1.0,1 bath,2.0,3.0,85.0
5931,40.83485,-73.94943,Private room in rental unit,Private room,1,1.0,1 shared bath,2.0,2.0,85.0
5932,40.644081,-74.013184,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,85.0
5933,40.76694545,-73.92412979,Private room in home,Private room,2,1.0,1 bath,1.0,1.0,85.0
5934,40.77152,-73.95215,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,85.0
5935,40.68939,-73.93178,Private room in rental unit,Private room,2,2.0,2 baths,1.0,1.0,85.0
5936,40.69268,-73.76737,Private room in home,Private room,1,1.0,1 bath,1.0,1.0,85.0
5937,40.60704,-73.99021,Private room in home,Private room,4,1.0,1 bath,1.0,1.0,85.0
5938,40.79594,-73.93443,Private room in rental unit,Private room,2,1.5,1.5 baths,1.0,1.0,85.0
5939,40.68562,-73.91171,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,85.0
5940,40.70320233,-73.91508884,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,85.0
5941,40.68495826,-73.92022387,Entire rental unit,Entire home/apt,2,1.0,1 bath,0.0,1.0,85.0
5942,40.64436099,-73.89106596,Private room in rental unit,Private room,2,1.0,1 bath,1.0,0.0,85.0
5943,40.75063,-73.97778,Private room in rental unit,Private room,1,1.0,1 bath,1.0,1.0,85.0
5944,40.74922,-73.91782,Private room in townhouse,Private room,1,1.0,1 shared bath,1.0,2.0,85.0
5945,40.75631421,-73.97165761,Shared room in rental unit,Shared room,1,1.0,1 shared bath,1.0,1.0,85.0
5946,40.75021615,-73.97757036,Private room in rental unit,Private room,1,1.0,1 bath,1.0,1.0,85.0
5947,40.68311,-73.94687,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,4.0,85.0
